Hour,January,February,March,April,May,June,July,August,September,October,November,December
0,0.3627405670273312,0.3901505659135096,0.3689609947553785,0.3451310177177268,0.31533544396283897,0.3129534754530867,0.3176925097475461,0.3295711345971374,0.3191281863345843,0.3264466799786703,0.34594061737966475,0.34817203003762526
1,0.3242546775988217,0.3457472406369081,0.3319147076293297,0.3186975727191148,0.29194394170026033,0.28871942795471683,0.2978108402978952,0.31585743637900143,0.30250211584537295,0.3064402317288563,0.3140383126069003,0.3209406980793753
2,0.30744474888292095,0.32429394864933664,0.3103878110560851,0.29425910470153005,0.2685524394376817,0.25905361118947096,0.26591732888908026,0.27427396436271834,0.26416978666191343,0.2761865782779183,0.2975886867084436,0.296140735045969
3,0.2972703183443495,0.31780806967634995,0.30888593455097496,0.27580556762702735,0.25460750539652904,0.24610093062999744,0.2518344796955776,0.2543669830783275,0.2466200455899682,0.2654514109243597,0.2866222694428058,0.29565446126100026
4,0.3003668841604365,0.32579068995079513,0.31589469157482203,0.2688231481934317,0.2456107737570758,0.2314769364499467,0.24686406233316485,0.25303985099270143,0.2415398573849314,0.271794918906008,0.30357036885333694,0.2995446515407503
5,0.32469704414397693,0.366202705090174,0.35794723371790454,0.2922641277205027,0.27934851740502575,0.2791093746363978,0.30319545910717566,0.29506570037086,0.2734064924892531,0.32205502060675995,0.35242077303663255,0.3326112689186253
6,0.38751309355602703,0.43455389119011106,0.4225279234376383,0.3630858105469727,0.36301812165194164,0.38356647592247484,0.432840511976774,0.41583472016283113,0.3690063978022183,0.381586403203767,0.4152284355580126,0.39047784932990665
7,0.4344039473424869,0.4624930621506694,0.43704606298703585,0.42044139875150816,0.40890145301315356,0.4525081627712856,0.48917190875078476,0.46316909788349375,0.40641505640294384,0.41086413234983604,0.4316780614564692,0.43521503754703167
8,0.45475280841962984,0.45201587304046004,0.41752166842060473,0.42393260846830605,0.3904581531522743,0.42033537557517386,0.44195294380786393,0.42468226740033815,0.38932715062236545,0.3908576841000222,0.4162253825821614,0.4449405132464067
9,0.4764287691322386,0.45750392447914107,0.41351666440697776,0.39899539620546454,0.354471226594461,0.36351071247554795,0.370710294946615,0.3618646820140381,0.3445291273597683,0.36645957647829797,0.4002742301957793,0.44591306081634413
10,0.5118180927446612,0.46548654475358625,0.42653292745126525,0.3900179997908416,0.3486233510288163,0.35306500234694027,0.3479292153688901,0.3454967196246501,0.34175811561156644,0.3562123712771738,0.40974522692519366,0.4750894879144691
11,0.5370329858185122,0.48344744037108794,0.4325404334717056,0.3805418591309618,0.332879070659773,0.3392766649771781,0.3259765386849007,0.3193964552740043,0.32928856274465784,0.3527966362101324,0.4251979057995015,0.49988945094787546
12,0.5777307079727982,0.5253561968119254,0.45506858104835696,0.39151423252661205,0.33197939749582767,0.33300923890001355,0.323905531450562,0.3185117005502536,0.3274412215791899,0.3693873493929049,0.469562048374127,0.5392776275303443
13,0.6126776650400655,0.557785591676859,0.4770961031233049,0.4024866059222623,0.3387269462254177,0.33802317976174523,0.3288759488129747,0.32160834208338107,0.33760159798926354,0.3854901004232429,0.5014643531468915,0.5660226857036255
14,0.6272757610301897,0.5762454010615136,0.489611740665889,0.3920129767718689,0.328830541422019,0.3279952980382818,0.3226629271099588,0.31983883263587964,0.33159773920149277,0.3850021382708084,0.5074460352917849,0.5820697206075943
15,0.6321417930268979,0.6041845720220719,0.5211511472732008,0.39749916346969405,0.3387269462254177,0.34554409105434275,0.3346747690691229,0.329128757235262,0.33529242153242866,0.3957373056243671,0.5139261909487527,0.592281470091938
16,0.644970422836401,0.6386096219556168,0.5576968088975465,0.43839619158075416,0.3922574994801649,0.4002796121282471,0.37775171954336645,0.3636341914615395,0.3708537389676863,0.429894656294781,0.5308742903592838,0.5927677438769068
17,0.6427585901106248,0.6630563965461053,0.6042549805559592,0.5191927593123606,0.5011179523175502,0.5239568200509623,0.5148523984565839,0.46892000358787334,0.44844206791733915,0.5021130548550846,0.5682598037648671,0.5951991128017504
18,0.6551448533749726,0.6825140334650655,0.6292862556411273,0.5780445802526668,0.5595967079739967,0.5916450216843403,0.6014205008519387,0.5746481930760825,0.5398854556080015,0.5572527780801815,0.6006605820497061,0.6044383147161568
19,0.6432009566557799,0.6765270682592316,0.6157693670951364,0.5486186697825137,0.5294576569818281,0.5707536014271248,0.5865092487647005,0.5520869476204396,0.5163318557482854,0.541637989202278,0.5787277475184305,0.5845010895324381
20,0.6122352984949102,0.6495857248329789,0.5927405940167817,0.5301651327080109,0.5128137034488395,0.5448482403081778,0.5744974068055364,0.538815626764179,0.49785844409360624,0.5157759951232502,0.5637735421561971,0.5626187692088442
21,0.5215501567380775,0.554792109073942,0.5146430157510572,0.4852781506348962,0.45613429412028356,0.48384529315710867,0.5102961825410388,0.48440321125351066,0.4438237150036693,0.44404555871538104,0.48351930671221155,0.4959992606681254
22,0.45784937423571676,0.48195069906962945,0.45907358506198387,0.4329100048829289,0.4053027603573723,0.42033537557517386,0.4394677351266576,0.4260093994859642,0.3981020211583382,0.39134564625245666,0.4187177501425337,0.4361875851169691
23,0.4029959226364619,0.41759082310691503,0.40150165236609714,0.3810406033762186,0.34502465837303503,0.3476332330800643,0.3599410573280542,0.35390188950028184,0.3399107744460985,0.35133274975282897,0.38033528971280145,0.39290921825475034
